County,FIPS code,CBSA,State Abbreviation,FEMA region,Population,Cases as a percent of national total - last 7 days,ThisWeekTotal Per100k,LastWeekTotal Per100k,Test Positivity Rate- Last 7 Days,Previous Week Positivity Rate,,,,,,
"Porter County, IN",,,,," 170,389 ",0.1%, 630 , 868 ,17.9%,23.4%,,,,,,
"Posey County, IN",,,,," 25,427 ",0.0%, 460 , 472 ,18.6%,21.6%,,,,,,
"Pottawatomie County, KS",,,,," 24,383 ",0.0%, 258 , 345 ,14.9%,22.3%,,,,,,
"Pottawatomie County, OK",,,,," 72,592 ",0.0%, 693 , 411 ,24.1%,19.4%,,,,,,
"Pottawattamie County, IA",,,,," 93,206 ",0.1%, 702 , 893 ,21.2%,23.7%,,,,,,
"Potter County, PA",,,,," 16,526 ",0.0%, 448 , 206 ,17.7%,12.7%,,,,,,
"Potter County, SD",,,,," 2,153 ",0.0%," 1,347 "," 1,626 ",8.9%,9.2%,,,,,,
"Potter County, TX",,,,," 117,415 ",0.1%, 715 , 804 ,21.9%,24.3%,,,,,,
"Powder River County, MT",,,,," 1,682 ",0.0%, 357 , 416 ,14.3%,48.0%,,,,,,
"Powell County, KY",,,,," 12,359 ",0.0%, 574 , 858 ,13.9%,26.7%,,,,,,
"Powell County, MT",,,,," 6,890 ",0.0%," 3,832 "," 1,089 ",15.0%,47.9%,,,,,,
"Power County, ID",,,,," 7,681 ",0.0%, 299 , 221 ,13.8%,19.3%,,,,,,
"Poweshiek County, IA",,,,," 18,504 ",0.0%, 519 , 708 ,9.8%,12.8%,,,,,,
"Prairie County, MT",,,,," 1,077 ",0.0%," 1,393 "," 2,228 ",22.8%,32.9%,,,,,,
"Pratt County, KS",,,,," 9,164 ",0.0%, 513 , 764 ,28.1%,29.7%,,,,,,
"Preble County, OH",,,,," 40,882 ",0.0%, 641 , 646 ,25.1%,36.2%,,,,,,
"Prentiss County, MS",,,,," 25,126 ",0.0%, 338 , 398 ,21.7%,16.7%,,,,,,
"Presidio County, TX",,,,," 6,704 ",0.0%," 2,774 ", 656 ,8.8%,11.5%,,,,,,
"Presque Isle County, MI",,,,," 12,592 ",0.0%, 540 , 389 ,16.5%,6.6%,,,,,,
"Preston County, WV",,,,," 33,432 ",0.0%, 482 , 266 ,7.1%,5.5%,,,,,,
"Price County, WI",,,,," 13,351 ",0.0%, 584 , 749 ,10.5%,11.6%,,,,,,
"Prince George County, VA",,,,," 38,353 ",0.0%, 141 , 149 ,9.7%,15.6%,,,,,,
"Prince William County, VA",,,,," 470,335 ",0.1%, 294 , 175 ,7.6%,14.6%,,,,,,
"Providence County, RI",,,,," 638,931 ",0.4%, 699 , 580 ,7.3%,7.2%,,,,,,
"Prowers County, CO",,,,," 12,172 ",0.0%," 1,175 ", 813 ,25.4%,24.0%,,,,,,
"Pueblo County, CO",,,,," 168,424 ",0.1%, 966 ," 1,082 ",16.4%,21.9%,,,,,,
"Pulaski County, GA",,,,," 11,137 ",0.0%, 117 , 99 ,22.2%,0.0%,,,,,,
"Pulaski County, IL",,,,," 5,335 ",0.0%, 769 , 562 ,24.9%,14.3%,,,,,,
"Pulaski County, IN",,,,," 12,353 ",0.0%, 607 , 453 ,18.3%,17.7%,,,,,,
"Pulaski County, MO",,,,," 52,607 ",0.0%, 266 , 270 ,21.1%,20.5%,,,,,,
"Pulaski County, VA",,,,," 34,027 ",0.0%, 423 , 217 ,11.9%,27.0%,,,,,,
"Pushmataha County, OK",,,,," 11,096 ",0.0%, 288 , 261 ,9.1%,20.3%,,,,,,
"Putnam County, IL",,,,," 5,739 ",0.0%, 383 , 767 ,18.3%,21.5%,,,,,,
"Putnam County, IN",,,,," 37,576 ",0.0%, 562 , 290 ,14.9%,10.8%,,,,,,
"Putnam County, MO",,,,," 4,696 ",0.0%, 809 , 532 ,36.5%,37.5%,,,,,,
"Putnam County, NY",,,,," 98,320 ",0.0%, 381 , 243 ,7.4%,6.2%,,,,,,
"Putnam County, OH",,,,," 33,861 ",0.0%, 585 , 771 ,25.3%,29.8%,,,,,,
"Putnam County, TN",,,,," 80,245 ",0.0%, 331 , 516 ,7.6%,11.8%,,,,,,
"Putnam County, WV",,,,," 56,450 ",0.0%, 585 , 406 ,8.5%,7.4%,,,,,,
"Quay County, NM",,,,," 8,253 ",0.0%, 400 , 291 ,13.4%,15.6%,,,,,,
"Quebradillas, PR",,,,," 25,919 ",0.0%, 154 , 93 ,12.0%,7.4%,,,,,,
"Quitman County, MS",,,,," 6,792 ",0.0%, 265 , 309 ,10.1%,23.3%,,,,,,
"Rabun County, GA",,,,," 17,137 ",0.0%, 233 , 292 ,12.0%,21.5%,,,,,,
"Racine County, WI",,,,," 196,311 ",0.1%, 508 , 934 ,16.6%,22.7%,,,,,,
"Rains County, TX",,,,," 12,514 ",0.0%, 96 , 184 ,11.2%,18.8%,,,,,,
"Ralls County, MO",,,,," 10,309 ",0.0%, 640 , 728 ,11.9%,39.7%,,,,,,
"Ramsey County, MN",,,,," 550,321 ",0.3%, 537 , 641 ,9.3%,13.6%,,,,,,
"Ramsey County, ND",,,,," 11,519 ",0.0%, 964 ," 1,476 ",12.9%,8.6%,,,,,,
"Randall County, TX",,,,," 137,713 ",0.1%, 811 , 867 ,23.2%,27.2%,,,,,,
"Randolph County, AR",,,,," 17,958 ",0.0%, 290 , 473 ,5.9%,10.4%,,,,,,
"Randolph County, IL",,,,," 31,782 ",0.0%, 787 , 645 ,14.5%,16.4%,,,,,,
"Randolph County, IN",,,,," 24,665 ",0.0%, 718 ," 1,001 ",23.2%,23.3%,,,,,,
"Randolph County, MO",,,,," 24,748 ",0.0%, 327 , 849 ,24.8%,27.2%,,,,,,
"Randolph County, NC",,,,," 143,667 ",0.0%, 267 , 225 ,8.5%,10.8%,,,,,,
"Rankin County, MS",,,,," 155,271 ",0.0%, 258 , 237 ,11.3%,10.5%,,,,,,
"Ransom County, ND",,,,," 5,218 ",0.0%," 1,016 "," 1,035 ",5.8%,5.2%,,,,,,
"Rapides Parish, LA",,,,," 129,648 ",0.0%, 234 , 653 ,6.0%,7.0%,,,,,,
"Ravalli County, MT",,,,," 43,806 ",0.0%, 584 , 283 ,23.4%,26.3%,,,,,,
"Rawlins County, KS",,,,," 2,530 ",0.0%, 672 , 514 ,75.0%,53.3%,,,,,,
"Ray County, MO",,,,," 23,018 ",0.0%, 313 , 465 ,8.2%,25.9%,,,,,,
"Reagan County, TX",,,,," 3,849 ",0.0%," 1,663 ", 961 ,12.5%,70.0%,,,,,,
"Real County, TX",,,,," 3,452 ",0.0%, 29 , 29 ,16.7%,3.7%,,,,,,
"Red Lake County, MN",,,,," 4,055 ",0.0%, 814 , 986 ,19.1%,18.0%,,,,,,
"Red River Parish, LA",,,,," 8,442 ",0.0%, 190 , 545 ,8.8%,19.8%,,,,,,
"Red Willow County, NE",,,,," 10,724 ",0.0%, 522 , 774 ,15.5%,29.4%,,,,,,
"Redwood County, MN",,,,," 15,170 ",0.0%," 1,266 "," 1,252 ",17.9%,22.0%,,,,,,
"Reeves County, TX",,,,," 15,976 ",0.0%," 1,308 ", 570 ,17.5%,6.6%,,,,,,
"Refugio County, TX",,,,," 6,948 ",0.0%, 173 , 158 ,11.5%,14.3%,,,,,,
"Reno County, KS",,,,," 61,998 ",0.1%," 1,205 "," 1,253 ",37.2%,32.2%,,,,,,
"Renville County, MN",,,,," 14,548 ",0.0%," 1,230 "," 1,024 ",15.1%,15.7%,,,,,,
"Renville County, ND",,,,," 2,327 ",0.0%," 2,106 "," 1,031 ",26.4%,8.1%,,,,,,
"Republic County, KS",,,,," 4,636 ",0.0%," 2,028 "," 1,531 ",58.3%,39.6%,,,,,,
"Reynolds County, MO",,,,," 6,270 ",0.0%, 367 , 383 ,18.3%,32.3%,,,,,,
"Rhea County, TN",,,,," 33,167 ",0.0%, 519 , 488 ,11.3%,17.4%,,,,,,
"Rice County, KS",,,,," 9,537 ",0.0%," 1,164 ", 965 ,26.2%,17.9%,,,,,,
"Rice County, MN",,,,," 66,972 ",0.1%, 896 ," 1,109 ",9.4%,13.3%,,,,,,
"Rich County, UT",,,,," 2,483 ",0.0%, 201 , 322 ,24.0%,12.5%,,,,,,
"Richardson County, NE",,,,," 7,865 ",0.0%, 648 , 801 ,27.7%,18.8%,,,,,,
"Richland County, IL",,,,," 15,513 ",0.0%, 806 , 599 ,15.0%,15.4%,,,,,,
"Richland County, MT",,,,," 10,803 ",0.0%, 139 , 537 ,32.9%,40.5%,,,,,,
"Richland County, ND",,,,," 16,177 ",0.0%, 841 , 995 ,16.7%,15.2%,,,,,,
"Richland County, OH",,,,," 121,154 ",0.1%, 606 , 390 ,19.3%,21.5%,,,,,,
"Richland County, WI",,,,," 17,252 ",0.0%, 446 , 533 ,11.5%,10.2%,,,,,,
"Richland Parish, LA",,,,," 20,122 ",0.0%, 333 ," 1,208 ",12.5%,30.2%,,,,,,
"Richmond County, VA",,,,," 9,023 ",0.0%, 377 , 122 ,6.3%,3.5%,,,,,,
"Riley County, KS",,,,," 74,232 ",0.0%, 548 , 547 ,11.5%,14.5%,,,,,,
"Ringgold County, IA",,,,," 4,894 ",0.0%, 695 , 470 ,27.5%,23.4%,,,,,,
"Rio Arriba County, NM",,,,," 38,921 ",0.0%, 545 , 509 ,14.7%,13.5%,,,,,,
"Rio Blanco County, CO",,,,," 6,324 ",0.0%, 759 , 490 ,21.1%,15.8%,,,,,,
"Rio Grande, PR",,,,," 54,304 ",0.0%, 55 , 79 ,19.2%,9.9%,,,,,,
"Ripley County, IN",,,,," 28,324 ",0.0%," 1,094 ", 953 ,17.0%,17.0%,,,,,,
"Ripley County, MO",,,,," 13,288 ",0.0%, 391 , 504 ,32.8%,26.5%,,,,,,
"Ritchie County, WV",,,,," 9,554 ",0.0%, 471 , 241 ,10.5%,12.1%,,,,,,
"Roane County, TN",,,,," 53,382 ",0.0%, 380 , 549 ,9.3%,14.1%,,,,,,
"Roanoke City, VA",,,,," 99,143 ",0.0%, 240 , 244 ,5.1%,15.1%,,,,,,
"Roanoke County, VA",,,,," 94,186 ",0.0%, 429 , 309 ,3.3%,10.4%,,,,,,
"Roberts County, SD",,,,," 10,394 ",0.0%, 616 , 856 ,6.3%,9.5%,,,,,,
"Roberts County, TX",,,,, 854 ,0.0%, 585 , 468 ,0.0%,,,,,,,
"Robertson County, KY",,,,," 2,108 ",0.0%, 522 , 617 ,28.6%,4.0%,,,,,,
"Robertson County, TN",,,,," 71,813 ",0.0%, 427 , 457 ,12.8%,14.3%,,,,,,
"Robertson County, TX",,,,," 17,074 ",0.0%, 141 , 64 ,10.4%,11.7%,,,,,,
"Robeson County, NC",,,,," 130,625 ",0.0%, 296 , 159 ,10.5%,11.2%,,,,,,
"Rock County, MN",,,,," 9,315 ",0.0%," 1,600 "," 1,009 ",27.6%,23.5%,,,,,,
"Rock County, NE",,,,," 1,357 ",0.0%, 442 , 516 ,33.3%,20.0%,,,,,,
"Rock County, WI",,,,," 163,354 ",0.1%, 541 , 698 ,16.2%,18.6%,,,,,,
"Rock Island County, IL",,,,," 141,879 ",0.1%, 520 , 827 ,19.9%,23.8%,,,,,,
"Rockbridge County, VA",,,,," 22,573 ",0.0%, 173 , 142 ,3.6%,12.7%,,,,,,
"Rockcastle County, KY",,,,," 16,695 ",0.0%, 222 , 150 ,13.6%,3.0%,,,,,,
"Rockingham County, NC",,,,," 91,010 ",0.0%, 356 , 215 ,10.2%,8.7%,,,,,,
"Rockingham County, VA",,,,," 81,948 ",0.0%, 175 , 103 ,8.3%,13.5%,,,,,,
"Rockwall County, TX",,,,," 104,915 ",0.0%, 375 , 256 ,10.9%,12.4%,,,,,,
"Roger Mills County, OK",,,,," 3,583 ",0.0%, 837 , 530 ,16.7%,16.7%,,,,,,
"Rogers County, OK",,,,," 92,459 ",0.0%, 493 , 452 ,14.1%,22.0%,,,,,,
"Rolette County, ND",,,,," 14,176 ",0.0%," 1,291 "," 2,116 ",18.0%,18.6%,,,,,,
"Rooks County, KS",,,,," 4,920 ",0.0%," 1,707 "," 1,280 ",47.1%,12.5%,,,,,,
"Roosevelt County, MT",,,,," 11,004 ",0.0%, 536 , 591 ,18.9%,30.7%,,,,,,
"Roosevelt County, NM",,,,," 18,500 ",0.0%, 589 , 600 ,11.3%,13.7%,,,,,,
"Roscommon County, MI",,,,," 24,019 ",0.0%, 550 , 433 ,19.4%,14.5%,,,,,,
"Roseau County, MN",,,,," 15,165 ",0.0%," 1,622 "," 1,332 ",21.2%,28.3%,,,,,,
"Rosebud County, MT",,,,," 8,937 ",0.0%, 224 , 123 ,8.7%,17.2%,,,,,,
"Ross County, OH",,,,," 76,666 ",0.0%, 305 , 316 ,15.5%,13.8%,,,,,,
"Routt County, CO",,,,," 25,638 ",0.0%, 499 , 460 ,8.3%,7.4%,,,,,,
"Rowan County, KY",,,,," 24,460 ",0.0%, 364 , 437 ,11.6%,18.9%,,,,,,
"Rowan County, NC",,,,," 142,088 ",0.0%, 324 , 245 ,11.2%,10.5%,,,,,,
"Runnels County, TX",,,,," 10,264 ",0.0%, 224 , 78 ,21.9%,10.0%,,,,,,
"Rush County, IN",,,,," 16,581 ",0.0%, 519 , 386 ,13.5%,9.6%,,,,,,
"Rush County, KS",,,,," 3,036 ",0.0%," 2,306 "," 1,120 ",50.0%,27.5%,,,,,,
"Rusk County, TX",,,,," 54,406 ",0.0%, 64 , 134 ,18.7%,15.3%,,,,,,
"Rusk County, WI",,,,," 14,178 ",0.0%, 896 ," 1,580 ",15.8%,20.7%,,,,,,
"Russell County, KS",,,,," 6,856 ",0.0%," 1,065 "," 1,750 ",41.0%,28.3%,,,,,,
"Russell County, VA",,,,," 26,586 ",0.0%, 207 , 226 ,10.6%,30.2%,,,,,,
"Rutherford County, NC",,,,," 67,029 ",0.0%, 377 , 240 ,12.0%,11.1%,,,,,,
"Rutherford County, TN",,,,," 332,285 ",0.1%, 389 , 482 ,13.9%,14.2%,,,,,,
"Sabana Grande, PR",,,,," 25,265 ",0.0%, 44 , 32 ,10.5%,0.0%,,,,,,
"Sabine Parish, LA",,,,," 23,884 ",0.0%, 548 , 791 ,14.0%,12.4%,,,,,,
"Sac County, IA",,,,," 9,721 ",0.0%, 946 ," 1,162 ",19.5%,19.5%,,,,,,
"Saginaw County, MI",,,,," 190,539 ",0.1%, 522 , 635 ,10.8%,14.0%,,,,,,
"Salem City, VA",,,,," 25,301 ",0.0%, 332 , 213 ,4.4%,19.5%,,,,,,
"Salinas, PR",,,,," 31,078 ",0.0%, 100 , 74 ,15.0%,25.4%,,,,,,
"Saline County, AR",,,,," 122,437 ",0.0%, 401 , 351 ,11.3%,10.6%,,,,,,
"Saline County, IL",,,,," 23,491 ",0.0%, 400 , 562 ,8.7%,11.6%,,,,,,
"Saline County, KS",,,,," 54,224 ",0.0%, 660 , 658 ,25.5%,10.5%,,,,,,
"Saline County, MO",,,,," 22,761 ",0.0%, 444 , 804 ,14.2%,21.3%,,,,,,
"Saline County, NE",,,,," 14,224 ",0.0%, 766 , 998 ,30.3%,30.5%,,,,,,
"Salt Lake County, UT",,,,," 1,160,437 ",0.6%, 605 , 728 ,17.9%,18.4%,,,,,,
"Sampson County, NC",,,,," 63,531 ",0.0%, 359 , 211 ,7.8%,10.2%,,,,,,
"San Bernardino County, CA",,,,," 2,180,085 ",0.7%, 365 , 331 ,11.0%,7.1%,,,,,,
"San German, PR",,,,," 35,527 ",0.0%, 39 , 59 ,9.1%,33.3%,,,,,,
"San Jacinto County, TX",,,,," 28,859 ",0.0%, 24 , 17 ,13.8%,7.2%,,,,,,
"San Juan County, CO",,,,, 728 ,0.0%, 137 , 687 ,9.5%,2.3%,,,,,,
"San Juan County, NM",,,,," 123,958 ",0.1%, 726 , 248 ,14.1%,13.6%,,,,,,
"San Juan County, UT",,,,," 15,308 ",0.0%, 372 , 398 ,16.3%,24.8%,,,,,,
"San Lorenzo, PR",,,,," 41,058 ",0.0%, 97 , 114 ,0.0%,20.3%,,,,,,
"San Miguel County, CO",,,,," 8,179 ",0.0%, 220 , 501 ,9.0%,3.0%,,,,,,
"San Patricio County, TX",,,,," 66,730 ",0.0%, 96 , 175 ,12.9%,15.5%,,,,,,
"San Saba County, TX",,,,," 6,055 ",0.0%, 149 , 281 ,19.0%,31.8%,,,,,,
"San Sebastian, PR",,,,," 42,430 ",0.0%, 205 , 339 ,20.2%,25.0%,,,,,,
"Sanborn County, SD",,,,," 2,344 ",0.0%," 1,365 "," 1,962 ",28.8%,36.1%,,,,,,
"Sanders County, MT",,,,," 12,113 ",0.0%, 281 , 405 ,17.3%,31.0%,,,,,,
"Sandoval County, NM",,,,," 146,748 ",0.1%, 710 , 435 ,11.5%,12.1%,,,,,,
"Sandusky County, OH",,,,," 58,518 ",0.0%, 545 , 378 ,17.2%,15.6%,,,,,,
"Sangamon County, IL",,,,," 194,672 ",0.1%, 580 , 737 ,14.1%,16.1%,,,,,,
"Sanilac County, MI",,,,," 41,170 ",0.0%, 564 , 243 ,15.8%,6.7%,,,,,,
"Sanpete County, UT",,,,," 30,939 ",0.0%," 1,154 ", 559 ,35.0%,25.4%,,,,,,
"Santa Cruz County, AZ",,,,," 46,498 ",0.0%, 759 , 379 ,18.0%,10.0%,,,,,,
"Santa Fe County, NM",,,,," 150,358 ",0.1%, 576 , 559 ,11.9%,16.3%,,,,,,
"Santa Rosa County, FL",,,,," 184,313 ",0.0%, 240 , 199 ,10.5%,10.2%,,,,,,
"Sargent County, ND",,,,," 3,898 ",0.0%," 1,334 "," 1,103 ",24.2%,25.2%,,,,,,
"Sarpy County, NE",,,,," 187,196 ",0.1%, 608 , 886 ,16.3%,17.2%,,,,,,
"Sauk County, WI",,,,," 64,442 ",0.0%, 400 , 644 ,10.0%,12.2%,,,,,,
"Saunders County, NE",,,,," 21,578 ",0.0%, 612 , 616 ,28.1%,21.6%,,,,,,
"Sawyer County, WI",,,,," 16,558 ",0.0%, 713 , 942 ,15.7%,17.4%,,,,,,
"Schleicher County, TX",,,,," 2,793 ",0.0%, 752 ," 1,217 ",19.4%,46.2%,,,,,,
"Schuyler County, IL",,,,," 6,768 ",0.0%, 591 , 754 ,3.9%,7.2%,,,,,,
"Schuyler County, MO",,,,," 4,660 ",0.0%, 258 , 429 ,25.0%,20.4%,,,,,,
"Schuylkill County, PA",,,,," 141,359 ",0.1%, 483 , 338 ,18.0%,14.2%,,,,,,
"Scioto County, OH",,,,," 75,314 ",0.0%, 394 , 358 ,14.7%,14.1%,,,,,,
"Scotland County, MO",,,,," 4,902 ",0.0%, 265 , 694 ,18.8%,39.1%,,,,,,
"Scott County, AR",,,,," 10,281 ",0.0%, 457 , 233 ,4.8%,5.7%,,,,,,
"Scott County, IA",,,,," 172,943 ",0.1%, 672 ," 1,118 ",18.8%,26.8%,,,,,,
"Scott County, IL",,,,," 4,951 ",0.0%, 404 , 667 ,1.4%,8.8%,,,,,,
"Scott County, IN",,,,," 23,873 ",0.0%, 888 , 511 ,13.7%,11.5%,,,,,,
"Scott County, KS",,,,," 4,823 ",0.0%, 518 ," 1,203 ",63.2%,57.9%,,,,,,
"Scott County, MN",,,,," 149,013 ",0.1%, 718 , 968 ,14.6%,18.1%,,,,,,
"Scott County, MO",,,,," 38,280 ",0.0%, 630 , 914 ,31.3%,40.0%,,,,,,
"Scott County, MS",,,,," 28,124 ",0.0%, 203 , 274 ,18.4%,16.6%,,,,,,
"Scott County, TN",,,,," 22,068 ",0.0%, 730 , 893 ,14.4%,21.0%,,,,,,
"Scott County, VA",,,,," 21,566 ",0.0%, 357 , 366 ,22.4%,25.6%,,,,,,
"Scotts Bluff County, NE",,,,," 35,618 ",0.0%, 348 ," 1,162 ",23.9%,39.3%,,,,,,
"Scurry County, TX",,,,," 16,703 ",0.0%, 503 , 862 ,28.5%,42.5%,,,,,,
"Sebastian County, AR",,,,," 127,827 ",0.0%, 333 , 372 ,13.1%,13.0%,,,,,,
"Sedgwick County, CO",,,,," 2,248 ",0.0%, 534 ," 1,023 ",11.6%,12.6%,,,,,,
"Sedgwick County, KS",,,,," 516,042 ",0.3%, 692 , 788 ,24.5%,27.6%,,,,,,
"Seminole County, GA",,,,," 8,090 ",0.0%, 173 , 309 ,10.1%,9.3%,,,,,,
"Seminole County, OK",,,,," 24,258 ",0.0%, 346 , 532 ,20.4%,16.3%,,,,,,
"Seneca County, OH",,,,," 55,178 ",0.0%, 636 , 567 ,14.9%,14.6%,,,,,,
"Sequoyah County, OK",,,,," 41,569 ",0.0%, 330 , 265 ,14.6%,16.1%,,,,,,
"Sevier County, AR",,,,," 17,007 ",0.0%, 370 , 388 ,5.4%,10.6%,,,,,,
"Sevier County, TN",,,,," 98,250 ",0.0%, 359 , 424 ,14.4%,14.1%,,,,,,
"Sevier County, UT",,,,," 21,620 ",0.0%, 805 ," 1,189 ",28.3%,22.8%,,,,,,
"Seward County, KS",,,,," 21,428 ",0.0%," 1,204 "," 1,083 ",46.3%,36.8%,,,,,,
"Seward County, NE",,,,," 17,284 ",0.0%, 688 , 561 ,34.5%,28.9%,,,,,,
"Shackelford County, TX",,,,," 3,265 ",0.0%, 153 , 61 ,5.0%,33.3%,,,,,,
"Shannon County, MO",,,,," 8,166 ",0.0%, 184 , 233 ,21.7%,16.9%,,,,,,
"Sharp County, AR",,,,," 17,442 ",0.0%, 430 , 539 ,7.7%,13.3%,,,,,,
"Shasta County, CA",,,,," 180,080 ",0.1%, 437 , 434 ,10.4%,4.1%,,,,,,
"Shawano County, WI",,,,," 40,899 ",0.0%, 413 , 905 ,11.6%,22.0%,,,,,,
"Shawnee County, KS",,,,," 176,875 ",0.1%, 659 , 586 ,20.1%,20.6%,,,,,,
"Sheboygan County, WI",,,,," 115,340 ",0.1%, 559 ," 1,064 ",18.7%,25.8%,,,,,,
"Shelby County, AL",,,,," 217,702 ",0.1%, 275 , 282 ,12.6%,12.8%,,,,,,
"Shelby County, IA",,,,," 11,454 ",0.0%, 480 , 891 ,9.9%,17.2%,,,,,,
"Shelby County, IL",,,,," 21,634 ",0.0%, 874 , 730 ,19.9%,17.4%,,,,,,
"Shelby County, IN",,,,," 44,729 ",0.0%, 731 , 595 ,16.5%,14.2%,,,,,,
"Shelby County, KY",,,,," 49,024 ",0.0%, 388 , 390 ,15.6%,15.8%,,,,,,
"Shelby County, MO",,,,," 5,930 ",0.0%, 388 , 455 ,16.7%,38.1%,,,,,,
"Shelby County, OH",,,,," 48,590 ",0.0%, 640 , 549 ,20.2%,23.9%,,,,,,
"Shelby County, TN",,,,," 937,166 ",0.2%, 281 , 331 ,8.0%,10.3%,,,,,,
"Shelby County, TX",,,,," 25,274 ",0.0%, 16 , 83 ,11.4%,4.5%,,,,,,
"Shenandoah County, VA",,,,," 43,616 ",0.0%, 188 , 206 ,4.5%,10.3%,,,,,,
"Sherburne County, MN",,,,," 97,238 ",0.1%, 865 ," 1,188 ",13.8%,19.5%,,,,,,
"Sheridan County, KS",,,,," 2,521 ",0.0%," 1,031 "," 1,230 ",60.0%,31.8%,,,,,,
"Sheridan County, MT",,,,," 3,309 ",0.0%," 1,148 "," 1,511 ",16.2%,27.4%,,,,,,
"Sheridan County, ND",,,,," 1,315 ",0.0%, 304 , 456 ,8.0%,17.4%,,,,,,
"Sheridan County, NE",,,,," 5,246 ",0.0%, 343 , 858 ,15.6%,51.0%,,,,,,
"Sheridan County, WY",,,,," 30,485 ",0.0%, 987 ," 1,171 ",25.0%,23.1%,,,,,,
"Sherman County, KS",,,,," 5,917 ",0.0%, 828 , 828 ,48.5%,65.0%,,,,,,
"Sherman County, NE",,,,," 3,001 ",0.0%, 367 , 600 ,25.5%,56.8%,,,,,,
"Sherman County, TX",,,,," 3,022 ",0.0%, 33 , 165 ,100.0%,20.0%,,,,,,
"Shiawassee County, MI",,,,," 68,122 ",0.0%, 415 , 443 ,12.9%,13.7%,,,,,,
"Shoshone County, ID",,,,," 12,882 ",0.0%, 349 , 520 ,25.6%,39.1%,,,,,,
"Sibley County, MN",,,,," 14,865 ",0.0%, 834 ," 1,177 ",9.6%,20.5%,,,,,,
"Sierra County, NM",,,,," 10,791 ",0.0%, 871 , 408 ,7.6%,8.8%,,,,,,
"Silver Bow County, MT",,,,," 34,915 ",0.0%," 1,163 "," 1,541 ",20.5%,36.6%,,,,,,
"Simpson County, KY",,,,," 18,572 ",0.0%, 576 , 248 ,21.1%,6.8%,,,,,,
"Simpson County, MS",,,,," 26,658 ",0.0%, 199 , 251 ,8.0%,12.6%,,,,,,
"Sioux County, IA",,,,," 34,855 ",0.0%, 651 , 775 ,26.9%,37.1%,,,,,,
"Sioux County, ND",,,,," 4,230 ",0.0%," 1,773 "," 1,229 ",46.7%,8.0%,,,,,,
"Sioux County, NE",,,,," 1,166 ",0.0%, 257 , 429 ,0.0%,0.0%,,,,,,
"Sitka City and Borough, AK",,,,," 8,493 ",0.0%, 412 , 341 ,2.1%,2.3%,,,,,,
"Slope County, ND",,,,, 750 ,0.0%, -   , 267 ,0.0%,12.5%,,,,,,
"Smith County, KS",,,,," 3,583 ",0.0%, 865 , 893 ,25.8%,50.0%,,,,,,
"Smith County, TN",,,,," 20,157 ",0.0%, 377 , 645 ,17.8%,18.1%,,,,,,
"Smith County, TX",,,,," 232,751 ",0.0%, 84 , 195 ,11.0%,13.6%,,,,,,
"Smyth County, VA",,,,," 30,104 ",0.0%, 399 , 326 ,7.1%,28.3%,,,,,,
"Snyder County, PA",,,,," 40,372 ",0.0%, 364 , 399 ,13.3%,12.2%,,,,,,
"Socorro County, NM",,,,," 16,637 ",0.0%, 577 , 559 ,9.6%,11.4%,,,,,,
"Somerset County, MD",,,,," 25,616 ",0.0%, 621 , 289 ,7.3%,7.8%,,,,,,
"Somerset County, PA",,,,," 73,447 ",0.0%, 641 , 395 ,19.7%,13.8%,,,,,,
"Somervell County, TX",,,,," 9,128 ",0.0%, 351 , 340 ,10.3%,27.6%,,,,,,
"Southeast Fairbanks Census Area, AK",,,,," 6,893 ",0.0%," 1,045 ", 667 ,37.2%,42.9%,,,,,,
"Spalding County, GA",,,,," 66,703 ",0.0%, 138 , 94 ,14.9%,9.7%,,,,,,
"Spartanburg County, SC",,,,," 319,785 ",0.1%, 257 , 255 ,10.5%,10.5%,,,,,,
"Spencer County, IN",,,,," 20,277 ",0.0%, 577 , 572 ,15.3%,16.5%,,,,,,
"Spencer County, KY",,,,," 19,351 ",0.0%, 439 , 465 ,17.9%,14.0%,,,,,,
"Spink County, SD",,,,," 6,376 ",0.0%, 659 , 910 ,24.3%,15.5%,,,,,,
"Spokane County, WA",,,,," 522,798 ",0.2%, 524 , 349 ,12.4%,11.1%,,,,,,
"St. Charles County, MO",,,,," 402,022 ",0.2%, 501 , 610 ,25.1%,24.2%,,,,,,
"St. Charles Parish, LA",,,,," 53,100 ",0.0%, 322 , 573 ,8.9%,7.7%,,,,,,
"St. Clair County, AL",,,,," 89,512 ",0.0%, 232 , 182 ,18.5%,19.1%,,,,,,
"St. Clair County, IL",,,,," 259,686 ",0.1%, 580 , 471 ,13.4%,14.5%,,,,,,
"St. Clair County, MI",,,,," 159,128 ",0.1%, 473 , 480 ,17.3%,17.9%,,,,,,
"St. Clair County, MO",,,,," 9,397 ",0.0%, 404 , 819 ,23.8%,32.4%,,,,,,
"St. Croix County, WI",,,,," 90,687 ",0.0%, 443 , 770 ,12.7%,16.5%,,,,,,
"St. Francois County, MO",,,,," 67,215 ",0.0%, 653 , 894 ,9.9%,14.9%,,,,,,
"St. Helena Parish, LA",,,,," 10,132 ",0.0%, 109 , 474 ,2.4%,12.5%,,,,,,
"St. James Parish, LA",,,,," 21,096 ",0.0%, 213 , 289 ,15.5%,7.6%,,,,,,
"St. John the Baptist Parish, LA",,,,," 42,837 ",0.0%, 245 , 238 ,10.1%,5.6%,,,,,,
